clean_node,original_node,ontology_id,ontology_name,umls_id,label,match_score,semantic_type,source,alternative_matches
$rac{1}{4}$ inch in diameter,$rac{1}{4}$ inch in diameter,UNKNOWN:$RAC{1}{,UNKNOWN,,$rac{1}{4}$ inch in diameter,0.0,Medical Concept,fallback,[]
1 in every 500 people,1 in every 500 people,UNKNOWN:1 IN EVE,UNKNOWN,,1 in every 500 people,0.0,Medical Concept,fallback,[]
1 inch of water,1 inch of water,UNKNOWN:1 INCH O,UNKNOWN,,1 inch of water,0.0,Medical Concept,fallback,[]
"100,000 times a day","100,000 times a day","UNKNOWN:100,000 ",UNKNOWN,,"100,000 times a day",0.0,Medical Concept,fallback,[]
6 weeks,6 weeks,C5452880,LNC,C5452880,6 weeks,1.0,Medical Concept,umls_api,"[{""umls_id"": ""C0233013"", ""name"": ""Gestation period, 6 weeks"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0233062"", ""name"": ""Postpartum state, 6 weeks"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}, {""umls_id"": ""C0589123"", ""name"": ""Follow-up 6 weeks"", ""source"": ""SNOMEDCT_US"", ""score"": 0.8}]"
60 mg/dL or higher,60 mg/dL or higher,UNKNOWN:60 MG/DL,UNKNOWN,,60 mg/dL or higher,0.0,Medical Concept,fallback,[]
A machine called a lithotriptor,A machine called a lithotriptor,UNKNOWN:A MACHIN,UNKNOWN,,A machine called a lithotriptor,0.0,Medical Concept,fallback,[]
A person with dysgraphia,A person with dysgraphia,UNKNOWN:A PERSON,UNKNOWN,,A person with dysgraphia,0.0,Medical Concept,fallback,[]
AED,AED,C1120172,MSH,C1120172,Aed a 1 allergen,0.8,Medical Concept,umls_api,"[{""umls_id"": ""C5571808"", ""name"": ""Provider of AED use"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C3842165"", ""name"": ""Unknown AED shockable rhythm"", ""source"": ""LNC"", ""score"": 0.8}, {""umls_id"": ""C3842166"", ""name"": ""Unknown AED non-shockable rhythm"", ""source"": ""LNC"", ""score"": 0.8}]"
ALS,ALS,C4045816,DRUGBANK,C4045816,ALS-008176,0.8,Disease or Syndrome,umls_api,"[{""umls_id"": ""C2711998"", ""name"": ""ALS-357"", ""source"": ""NCI"", ""score"": 0.8}, {""umls_id"": ""C0102805"", ""name"": ""ALS-1249"", ""source"": ""MSH"", ""score"": 0.8}, {""umls_id"": ""C0051487"", ""name"": ""ALS 8123"", ""source"": ""MSH"", ""score"": 0.8}]"
